Estimate Status,Year,Common Name,Total Harvest (A+B1),PSE Harvest,Released (B2),PSE Released
FINAL,1981,SHEEPSHEAD,"890,717",15.5,"207,049",32.6
FINAL,1982,SHEEPSHEAD,"1,295,662",10.7,"731,186",16.4
FINAL,1983,SHEEPSHEAD,"2,217,170",14.2,"938,201",40.1
FINAL,1984,SHEEPSHEAD,"1,374,764",12.3,"1,360,438",17.5
FINAL,1985,SHEEPSHEAD,"1,449,921",15,"475,087",23.5
FINAL,1986,SHEEPSHEAD,"1,312,921",27.8,"841,654",35.7
FINAL,1987,SHEEPSHEAD,"1,152,023",9.6,"508,456",13.1
FINAL,1988,SHEEPSHEAD,"2,491,399",8.7,"951,739",10.4
FINAL,1989,SHEEPSHEAD,"2,598,202",10.1,"576,219",12.8
FINAL,1990,SHEEPSHEAD,"1,404,756",13.1,"707,806",19.4
FINAL,1991,SHEEPSHEAD,"1,424,115",11.8,"881,469",15.3
FINAL,1992,SHEEPSHEAD,"3,004,991",7.1,"1,439,453",6.4
FINAL,1993,SHEEPSHEAD,"2,724,454",6,"1,660,037",8
FINAL,1994,SHEEPSHEAD,"1,644,548",7.3,"1,079,928",6.6
FINAL,1995,SHEEPSHEAD,"2,435,119",7.4,"1,241,212",14.8
FINAL,1996,SHEEPSHEAD,"1,535,107",7.3,"1,219,860",7.2
FINAL,1997,SHEEPSHEAD,"1,710,843",7.9,"1,513,873",8.4
FINAL,1998,SHEEPSHEAD,"1,437,782",6.5,"1,653,538",6.8
FINAL,1999,SHEEPSHEAD,"1,466,030",6.2,"1,432,795",5.3
FINAL,2000,SHEEPSHEAD,"1,375,356",7.8,"1,727,844",7.6
FINAL,2001,SHEEPSHEAD,"1,558,438",6.6,"1,648,575",5.7
FINAL,2002,SHEEPSHEAD,"1,636,009",7.1,"1,701,162",5.8
FINAL,2003,SHEEPSHEAD,"2,017,437",6.5,"2,004,401",6.4
FINAL,2004,SHEEPSHEAD,"2,564,276",11.8,"2,172,848",11.7
FINAL,2005,SHEEPSHEAD,"2,082,848",11.8,"2,394,412",14.9
FINAL,2006,SHEEPSHEAD,"1,187,606",13.3,"1,507,746",12
FINAL,2007,SHEEPSHEAD,"1,244,366",13.1,"1,222,132",12.8
FINAL,2008,SHEEPSHEAD,"1,614,654",11.4,"1,487,418",12.8
FINAL,2009,SHEEPSHEAD,"1,607,174",11.3,"1,338,852",11
FINAL,2010,SHEEPSHEAD,"1,194,806",10.3,"1,738,679",11.7
FINAL,2011,SHEEPSHEAD,"2,272,857",15.2,"1,633,238",9
FINAL,2012,SHEEPSHEAD,"1,596,215",9.4,"1,515,802",9.2
FINAL,2013,SHEEPSHEAD,"1,354,791",9.7,"1,672,129",9.4
FINAL,2014,SHEEPSHEAD,"1,391,246",10.5,"1,579,094",18.1
FINAL,2015,SHEEPSHEAD,"1,327,088",13.7,"1,562,330",15.2
