code,gear
01,16-ft Lined Trawl
02,50-ft Bag Seine
03,Beam Plankton Trawl
04,Marsh Net
05,36-ft Trawl
06,Nekton
07,G. O. Nets
08,6-ft Lined Trawl
09,16-ft Unlined Trawl
10,750-ft Sport Fish Gill Net (5-panel) 
11,Scoop Net
12,16-ft Bait Trawl
13,Gill Net (not specific)
14,Hook & Line (GCRL)
15,Hook & Line (Recreational)
16,Hook & Line (Commercial)
17,Hook & Line (Fishing Rodeo)
18,Cast Net (GCRL)
19,Cast Net (Fisherman)
20,Live Bait Dealer
21,Crab Trap
22,200-ft Pair Trawl
23,Purse Seine
24,Hoop Net
25,Oyster Dredge
26,25-ft Ross Trawl
27,25-ft MDMR Trawl
28,Aquacultured
29,8-ft Trawl
30,Minnow Trap
31,
32,Pinfish Trap
33,"1200-ft Gill Net (3"" mesh)"
34,300-ft Gill Net
35,Snag Fishing
36,
37,25-ft Commerial Shrimp Trawl
38,92-ft Two-Seam Fish Trawl
39,
40,Spear Gun
41,Shock Boat
42,50-hook Sport Fish Hand Line
